<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.02	01:00:00	5300.25	5393.41	5300.25	5386.98	18055	0	18
2026.03.02	02:00:00	5387.00	5388.24	5340.99	5347.51	17242	0	20
2026.03.02	03:00:00	5347.48	5347.48	5303.19	5324.99	25149	0	18
2026.03.02	04:00:00	5324.93	5351.84	5317.04	5346.36	19995	0	20
2026.03.02	05:00:00	5346.66	5366.66	5344.52	5366.35	14522	0	18
2026.03.02	06:00:00	5366.29	5367.10	5345.29	5355.91	11057	0	18
2026.03.02	07:00:00	5355.92	5366.40	5340.72	5366.17	13880	0	20
2026.03.02	08:00:00	5366.14	5389.87	5363.68	5387.69	16430	0	18
2026.03.02	09:00:00	5387.74	5419.21	5385.00	5408.19	16707	0	18
2026.03.02	10:00:00	5408.20	5416.68	5391.33	5394.01	17867	0	18
2026.03.02	11:00:00	5394.05	5402.66	5386.08	5392.01	14271	0	18
2026.03.02	12:00:00	5392.11	5400.89	5379.08	5389.21	13525	0	20
2026.03.02	13:00:00	5389.31	5399.98	5375.20	5385.25	12669	0	22
2026.03.02	14:00:00	5385.49	5398.72	5378.86	5397.08	14147	0	22
2026.03.02	15:00:00	5397.07	5416.39	5381.90	5393.88	24725	0	22
2026.03.02	16:00:00	5393.89	5395.13	5306.56	5333.64	30349	0	22
2026.03.02	17:00:00	5333.57	5348.83	5308.29	5315.88	29658	0	22
2026.03.02	18:00:00	5315.24	5315.24	5260.39	5290.16	28797	0	22
2026.03.02	19:00:00	5290.07	5320.50	5286.92	5306.66	22499	0	22
2026.03.02	20:00:00	5306.73	5316.76	5289.60	5315.47	17650	0	22
2026.03.02	21:00:00	5315.69	5334.07	5313.93	5330.45	14380	0	22
2026.03.02	22:00:00	5330.48	5346.41	5328.33	5332.31	21160	0	22
2026.03.02	23:00:00	5333.18	5340.20	5321.61	5321.89	7987	0	22
2026.03.03	01:00:00	5323.08	5347.34	5322.59	5345.82	6795	0	22
2026.03.03	02:00:00	5345.84	5362.07	5337.00	5350.16	8249	0	22
2026.03.03	03:00:00	5350.11	5379.84	5338.13	5339.20	22608	0	22
2026.03.03	04:00:00	5339.42	5368.09	5332.85	5366.89	20461	0	22
2026.03.03	05:00:00	5366.88	5373.48	5358.97	5367.30	13324	0	22
2026.03.03	06:00:00	5367.29	5375.64	5359.36	5361.07	11514	0	22
2026.03.03	07:00:00	5361.06	5367.16	5305.18	5319.03	19501	0	24
2026.03.03	08:00:00	5319.12	5323.08	5279.06	5310.49	23963	0	22
2026.03.03	09:00:00	5310.35	5331.16	5305.90	5327.65	14587	0	21
2026.03.03	10:00:00	5327.66	5335.86	5290.24	5295.54	18623	0	24
2026.03.03	11:00:00	5295.55	5303.85	5226.26	5275.01	23901	0	22
2026.03.03	12:00:00	5274.92	5288.13	5237.94	5248.57	20224	0	22
2026.03.03	13:00:00	5248.58	5263.93	5074.05	5144.46	30008	0	22
2026.03.03	14:00:00	5144.59	5226.64	5138.42	5224.46	24153	0	22
2026.03.03	15:00:00	5224.49	5224.58	5127.27	5156.80	29484	0	22
2026.03.03	16:00:00	5156.72	5175.45	5015.95	5038.10	31057	0	22
2026.03.03	17:00:00	5038.78	5096.91	4996.08	5095.44	32875	0	22
2026.03.03	18:00:00	5095.38	5134.65	5090.49	5106.68	30509	0	22
2026.03.03	19:00:00	5107.33	5109.84	5065.18	5079.15	27244	0	22
2026.03.03	20:00:00	5079.14	5138.14	5079.03	5136.03	23887	0	22
2026.03.03	21:00:00	5135.88	5148.89	5099.33	5113.19	25029	0	22
2026.03.03	22:00:00	5113.22	5130.37	5085.88	5097.25	24963	0	22
2026.03.03	23:00:00	5096.98	5110.32	5083.51	5088.33	11431	0	25
2026.03.04	01:00:00	5101.64	5129.73	5083.86	5125.33	10763	0	22
2026.03.04	02:00:00	5125.35	5140.36	5106.00	5138.49	12383	0	22
2026.03.04	03:00:00	5138.52	5178.38	5138.45	5174.85	26479	0	24
2026.03.04	04:00:00	5174.87	5190.75	5153.99	5156.26	23209	0	22
2026.03.04	05:00:00	5156.24	5177.42	5141.24	5174.54	20872	0	22
2026.03.04	06:00:00	5174.50	5180.87	5152.33	5156.69	17635	0	22
2026.03.04	07:00:00	5156.81	5167.94	5152.06	5159.87	21224	0	25
2026.03.04	08:00:00	5159.86	5160.63	5121.36	5160.43	20763	0	22
2026.03.04	09:00:00	5160.46	5175.79	5158.23	5168.15	15289	0	22
2026.03.04	10:00:00	5168.07	5182.11	5147.74	5167.53	18323	0	22
2026.03.04	11:00:00	5167.53	5185.00	5159.11	5182.24	15928	0	22
2026.03.04	12:00:00	5182.22	5202.46	5179.49	5189.83	18085	0	22
2026.03.04	13:00:00	5189.83	5200.61	5187.60	5192.01	12825	0	22
2026.03.04	14:00:00	5192.07	5205.98	5156.31	5171.11	19832	0	22
2026.03.04	15:00:00	5171.21	5196.28	5167.53	5167.87	22027	0	22
2026.03.04	16:00:00	5167.88	5185.06	5138.63	5144.92	28948	0	22
2026.03.04	17:00:00	5144.76	5166.99	5131.21	5151.28	30031	0	22
2026.03.04	18:00:00	5151.31	5162.43	5138.31	5149.73	24421	0	22
